-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,97,98,99,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,107,113,114,115,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,2,2,2,36,32,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,34,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,36,32,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,34,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,36,32,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,12,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,34,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262,263,264,-1,-1,-1,-1,-1
10,28,-1,-1,-1,-1,-1,-1,10,22,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,267,268,-1,-1,-1,-1
10,36,28,-1,-1,-1,-1,-1,10,10,10,22,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,267,25,-1,-1,-1
10,10,36,28,-1,-1,-1,-1,10,10,10,10,10,22,24,25,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,83,84,85,86
10,10,10,36,28,-1,-1,-1,10,10,10,10,10,10,10,10,24,25,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,36,28,-1,-1,10,10,10,10,10,10,10,10,10,22,24,25,-1,-1,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,10,36,28,-1,10,10,10,10,10,10,10,10,10,10,10,22,24,25,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,10,10,36,28,10,10,10,10,10,10,10,10,10,10,10,10,10,22,24,25,10,10,10,10,10,10,10,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,259,260,261,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,265,266,10,10,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,266,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
-1,-1,-1,-1,-1,-1,-1,-1,89,90,91,92,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,32,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,34,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,36,32,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,34,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,259,260,261,-1,-1,-1,-1,-1,-1,-1,33,262,263,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,265,266,10,10,-1,-1,-1,-1,-1,-1,-1,35,10,10,267,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,26,266,10,10,10,-1,-1,-1,-1,-1,-1,33,10,10,10,10,267,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,90,91,92,10,10,10,10,-1,-1,-1,-1,-1,-1,35,10,10,10,10,10,83,84,85,86,-1,-1,-1,-1,-1,-1,-1,-1
